locus,symbol
b0069,sgrR
b0076,leuO
b0080,cra
b0145,dksA
b0294,matA
b0399,phoB
b0435,bolA
b0440,hupB
b0464,acrR
b0683,fur
b0846,rcdA
b0889,lrp
b0911,rpsA
b0912,ihfB
b0995,torR
b1013,rutR
b1040,csgD
b1130,phoP
b1237,hns
b1334,fnr
b1356,racR
b1358,ydaT
b1434,sutR
b1499,ydeO
b1530,marR
b1531,marA
b1608,rstA
b1642,slyA
b1696,ydiP
b1712,ihfA
b1891,flhC
b1892,flhD
b1914,uvrY
b1916,sdiA
b1921,fliZ
b1922,fliA
b1951,rcsA
b1988,nac
b2125,btsR
b2127,mlrA
b2217,rcsB
b2289,lrhA
b2369,evgA
b2554,glrR
b2573,rpoE
b2624,alpA
b2664,glaR
b2669,stpA
b2696,csrA
b2741,rpoS
b2808,gcvA
b2916,argP
b3021,mqsA
b3025,qseB
b3067,rpoD
b3162,deaD
b3202,rpoN
b3237,argR
b3261,fis
b3357,crp
b3405,ompR
b3461,rpoH
b3512,gadE
b3515,gadW
b3516,gadX
b3556,cspA
b3604,lldR
b3669,uhpA
b3702,dnaA
b4480,hdfR
b3868,glnG
b3912,cpxR
b3934,cytR
b3961,oxyR
b4000,hupA
b4004,zraR
b4043,lexA
b4062,soxS
b4063,soxR
b4113,basR
b4116,adiY
b4178,nsrR
b4365,yjjQ
b4366,bglJ
b4396,rob
b4401,arcA
