locus,symbol
b0020,nhaR
b0034,caiF
b0064,araC
b0081,mraZ
b0113,pdhR
b0118,acnB
b0162,cdaR
b0169,rpsB
b0185,accA
b0208,yafC
b0225,yafQ
b0226,dinJ
b0272,xynR
b0305,rclR
b0313,betI
b0315,pdeL
b0330,prpR
b0338,cynR
b0345,lacI
b0346,mhpR
b0357,frmR
b0413,nrdR
b0447,decR
b0487,cueR
b0504,allS
b0506,allR
b0535,fimZ
b0564,appY
b0566,envY
b0571,cusR
b0620,dpiA
b0676,nagC
b0694,kdpE
b0730,mngR
b0761,modE
b0796,cecR
b0817,mntR
b0840,deoR
b0959,sxy
b1014,putA
b1084,rne
b1111,comR
b1162,bluR
b1187,fadR
b1201,dhaR
b1221,narL
b1275,cysB
b1284,yciT
b1299,puuR
b1303,pspF
b1320,ycjW
b1323,tyrR
b1328,pgrR
b1384,feaR
b1399,paaX
b1422,ydcI
b1438,hicB
b1450,mcbR
b1507,hipA
b1508,hipB
b1512,lsrR
b1540,rspR
b1563,relE
b1564,relB
b1570,dicA
b1594,mlc
b1618,uidR
b1620,malI
b1649,nemR
b1658,purR
b1659,punR
b1716,rplT
b1719,thrS
b1735,chbR
b1790,nimR
b1827,kdgR
b1853,yebK
b1969,hprR
b1987,cbl
b1988,nac
b4539,yoeB
b2017,yefM
b2079,baeR
b2101,yegW
b2105,rcnR
b2151,galS
b2157,yeiE
b2163,yeiL
b2185,rplY
b2193,narP
b2213,ada
b2220,atoC
b2316,accD
b2364,dsdC
b2381,pyrR
b2398,yfeC
b2405,xapR
b2427,murR
b2491,hyfR
b2531,iscR
b2537,hcaR
b2576,srmB
b2684,mprA
b2697,alaS
b2706,gutM
b2707,srlR
b2709,norR
b2714,ascG
b2731,fhlA
b2735,ygbI
b2782,mazF
b2783,mazE
b2805,fucR
b2837,galR
b2839,lysR
b2980,glcC
b3010,yqhC
b3023,ygiV
b3060,ttdR
b3067,rpoD
b3071,nfeR
b3075,ebgR
b3082,higA
b3083,higB
b3094,exuR
b3105,yhaJ
b3118,tdcA
b3119,tdcR
b3131,agaR
b3164,pnp
b3165,rpsO
b3226,nanR
b3231,rplM
b3243,aaeR
b3255,accB
b3264,envR
b3292,zntR
b3296,rpsD
b3306,rpsH
b3319,rplD
b3341,rpsG
b3357,crp
b3375,frlR
b3418,malT
b3422,rtcR
b3438,gntR
b3481,nikR
b3501,arsR
b3569,xylR
b3574,plaR
b3585,yiaU
b3590,selB
b3687,ibpA
b4479,dgoR
b3711,yidZ
b3723,bglG
b3743,asnC
b3753,rbsR
b3755,yieP
b3773,ilvY
b3783,rho
b3828,metR
b3884,csqR
b3905,rhaS
b3906,rhaR
b3936,rpmE
b3938,metJ
b3963,fabR
b3973,birA
b3984,rplA
b4018,iclR
b4046,zur
b4089,alsR
b4118,melR
b4124,dcuR
b4133,cadC
b4172,hfq
b4187,aidB
b4191,ulaR
b4200,rpsF
b4202,rpsR
b4241,treR
b4260,pepA
b4264,idnR
b4293,fecI
b4324,uxuR
b4327,hypT
b4390,nadR
b4393,trpR
b4398,creB
